統計名：,令和３年経済センサス‐活動調査 事業所に関する集計 産業横断的集計 事業所数、従業者数,,,,,,,,,,,,,,,,,,,
表番号：,9-1A,,,,,,,,,,,,,,,,,,,
表題：,産業(小分類)別全事業所数－全国、都道府県、市区町村,,,,,,,,,,,,,,,,,,,
実施年月：,2021年,6月,,,,,,,,,,,,,,,,,,
市区町村時点（年月日）：,-,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
*,項目名短縮,,,,,,,,,,,,,,,,,,,
***,数字が得られないもの,,,,,,,,,,,,,,,,,,,
-,該当数字がないもの 及び 分母が０のため計算できないもの,,,,,,,,,,,,,,,,,,,
X,数字が秘匿されているもの,,,,,,,,,,,,,,,,,,,
x,数字が秘匿されているもの,,,,,,,,,,,,,,,,,,,
そ他,製造品出荷額等の都道府県別順位,,,,,,,,,,,,,,,,,,,
は用,製造品出荷額等の都道府県別順位,,,,,,,,,,,,,,,,,,,
グロス,単位,,,,,,,,,,,,,,,,,,,
ダース,単位,,,,,,,,,,,,,,,,,,,
デカ,単位,,,,,,,,,,,,,,,,,,,
プラ,製造品出荷額等の都道府県別順位,,,,,,,,,,,,,,,,,,,
万本,単位,,,,,,,,,,,,,,,,,,,
個,単位,,,,,,,,,,,,,,,,,,,
化学,製造品出荷額等の都道府県別順位,,,,,,,,,,,,,,,,,,,
千ダース,単位,,,,,,,,,,,,,,,,,,,
千個,単位,,,,,,,,,,,,,,,,,,,
千双,単位,,,,,,,,,,,,,,,,,,,
千本,単位,,,,,,,,,,,,,,,,,,,
千袋,単位,,,,,,,,,,,,,,,,,,,
千足,単位,,,,,,,,,,,,,,,,,,,
千連,単位,,,,,,,,,,,,,,,,,,,
千ｃｍプライ,単位,,,,,,,,,,,,,,,,,,,
千ｍ２,単位,,,,,,,,,,,,,,,,,,,
千ｍ３,単位,,,,,,,,,,,,,,,,,,,
印刷,製造品出荷額等の都道府県別順位,,,,,,,,,,,,,,,,,,,
台,単位,,,,,,,,,,,,,,,,,,,
導体ｔ,単位,,,,,,,,,,,,,,,,,,,
情報,製造品出荷額等の都道府県別順位,,,,,,,,,,,,,,,,,,,
本,単位,,,,,,,,,,,,,,,,,,,
枚,単位,,,,,,,,,,,,,,,,,,,
点,単位,,,,,,,,,,,,,,,,,,,
生産,製造品出荷額等の都道府県別順位,,,,,,,,,,,,,,,,,,,
畳,単位,,,,,,,,,,,,,,,,,,,
着,単位,,,,,,,,,,,,,,,,,,,
石油,製造品出荷額等の都道府県別順位,,,,,,,,,,,,,,,,,,,
窯業,製造品出荷額等の都道府県別順位,,,,,,,,,,,,,,,,,,,
紙パ,製造品出荷額等の都道府県別順位,,,,,,,,,,,,,,,,,,,
総ｔ,単位,,,,,,,,,,,,,,,,,,,
繊維,製造品出荷額等の都道府県別順位,,,,,,,,,,,,,,,,,,,
足,単位,,,,,,,,,,,,,,,,,,,
輸送,製造品出荷額等の都道府県別順位,,,,,,,,,,,,,,,,,,,
連,単位,,,,,,,,,,,,,,,,,,,
金属,製造品出荷額等の都道府県別順位,,,,,,,,,,,,,,,,,,,
鉄鋼,製造品出荷額等の都道府県別順位,,,,,,,,,,,,,,,,,,,
隻,単位,,,,,,,,,,,,,,,,,,,
電子,製造品出荷額等の都道府県別順位,,,,,,,,,,,,,,,,,,,
電気,製造品出荷額等の都道府県別順位,,,,,,,,,,,,,,,,,,,
非鉄,製造品出荷額等の都道府県別順位,,,,,,,,,,,,,,,,,,,
食料,製造品出荷額等の都道府県別順位,,,,,,,,,,,,,,,,,,,
飲料,製造品出荷額等の都道府県別順位,,,,,,,,,,,,,,,,,,,
２ｍｍ換算箱,単位,,,,,,,,,,,,,,,,,,,
Ｋｍ,単位,,,,,,,,,,,,,,,,,,,
ｇ,単位,,,,,,,,,,,,,,,,,,,
ｋｇ,単位,,,,,,,,,,,,,,,,,,,
ｋｌ,単位,,,,,,,,,,,,,,,,,,,
ｍ,単位,,,,,,,,,,,,,,,,,,,
ｍ２,単位,,,,,,,,,,,,,,,,,,,
ｍ３,単位,,,,,,,,,,,,,,,,,,,
ｔ,単位,,,,,,,,,,,,,,,,,,,
･･･,調査していないもの,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,/地域 コード,38201,38202,38206,,,,,,,,
,,,,,,,,,/地域 補助コード,-,-,-,,,,,,,,
時間軸 コード,時間軸 補助コード,時間軸,表章項目 コード,表章項目 補助コード,表章項目,産業小分類 コード,産業小分類 補助コード,産業小分類,/地域,松山市,今治市,西条市,,,,,,,,
2021000000,,2021年,102-2021,,事業所数【事業所】,AS,,全産業,,"21,123","7,915","4,690",,,,,,,,
2021000000,,2021年,102-2021,,事業所数【事業所】,AB,,農林漁業,,70,57,87,,,,,,,,
2021000000,,2021年,102-2021,,事業所数【事業所】,CR,,非農林漁業（S_公務を除く）,,"20,920","7,777","4,556",,,,,,,,
2021000000,,2021年,102-2021,,事業所数【事業所】,C,,鉱業，採石業，砂利採取業,,1,24,-,,,,,,,,
2021000000,,2021年,102-2021,,事業所数【事業所】,D,,建設業,,"1,924",677,561,,,,,,,,
2021000000,,2021年,102-2021,,事業所数【事業所】,E,,製造業,,880,883,467,,,,,,,,
2021000000,,2021年,102-2021,,事業所数【事業所】,F,,電気・ガス・熱供給・水道業,,37,25,24,,,,,,,,
2021000000,,2021年,102-2021,,事業所数【事業所】,G,,情報通信業,,352,25,18,,,,,,,,
2021000000,,2021年,102-2021,,事業所数【事業所】,H,,運輸業，郵便業,,476,383,103,,,,,,,,
2021000000,,2021年,102-2021,,事業所数【事業所】,I,,卸売業，小売業,,"5,016","1,969","1,054",,,,,,,,
2021000000,,2021年,102-2021,,事業所数【事業所】,J,,金融業，保険業,,525,124,65,,,,,,,,
2021000000,,2021年,102-2021,,事業所数【事業所】,K,,不動産業，物品賃貸業,,"1,594",281,174,,,,,,,,
2021000000,,2021年,102-2021,,事業所数【事業所】,L,,学術研究，専門・技術サービス業,,"1,133",279,182,,,,,,,,
2021000000,,2021年,102-2021,,事業所数【事業所】,M,,宿泊業，飲食サービス業,,"2,406",948,489,,,,,,,,
2021000000,,2021年,102-2021,,事業所数【事業所】,N,,生活関連サービス業，娯楽業,,"1,918",589,395,,,,,,,,
2021000000,,2021年,102-2021,,事業所数【事業所】,80,,娯楽業,,183,65,51,,,,,,,,
2021000000,,2021年,102-2021,,事業所数【事業所】,802,,興行場（別掲を除く），興行団,,12,1,1,,,,,,,,
2021000000,,2021年,102-2021,,事業所数【事業所】,O,,教育，学習支援業,,821,285,185,,,,,,,,
2021000000,,2021年,102-2021,,事業所数【事業所】,P,,医療，福祉,,"2,077",643,447,,,,,,,,
2021000000,,2021年,102-2021,,事業所数【事業所】,R,,サービス業（他に分類されないもの）,,"1,626",565,345,,,,,,,,
2021000000,,2021年,102-2021,,事業所数【事業所】,S,,公務（他に分類されるものを除く）,,133,81,47,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,産業小分類,今治市,松山市,,,,
,,,,,,,,,,,,,,全産業,"7,915","21,123",,,,
,,,,,,,,,,,,,,農林漁業,57,70,,,,
,,,,,,,,,,,,,,第2次産業,1584,2805,,鉱業，採石業，砂利採取業,24,1
,,,,,,,,,,,,,,電気・ガス・熱供給・水道業,25,37,,建設業,677,"1,924"
,,,,,,,,,,,,,,情報通信業,25,352,,製造業,883,880
,,,,,,,,,,,,,,運輸業，郵便業,383,476,,,,
,,,,,,,,,,,,,,卸売業，小売業,"1,969","5,016",,,,
,,,,,,,,,,,,,,金融業，保険業,124,525,,,,
,,,,,,,,,,,,,,不動産業，物品賃貸業,281,"1,594",,,,
,,,,,,,,,,,,,,学術研究，専門・技術サービス業,279,"1,133",,,,
,,,,,,,,,,,,,,宿泊業，飲食サービス業,948,"2,406",,,,
,,,,,,,,,,,,,,生活関連サービス業，娯楽業,589,"1,918",,,,
,,,,,,,,,,,,,,娯楽業,65,183,,,,
,,,,,,,,,,,,,,興行場（別掲を除く），興行団,1,12,,,,
,,,,,,,,,,,,,,教育，学習支援業,285,821,,,,
,,,,,,,,,,,,,,医療，福祉,643,"2,077",,,,
,,,,,,,,,,,,,,サービス業（他に分類されないもの）,565,"1,626",,,,
,,,,,,,,,,,,,,公務（他に分類されるものを除く）,81,133,,,,